label,id,text,coordinates
0,1.27E+18,Thanks to forest fires and slash-burn fields :) @w_waanp,
0,1.27E+18,"@Sulkythesecond @ESRIDublin Absolutely.

This study just focused on NO2 emissions, mind, which I think are mainly a… https://t.co/urwom1NRqp",
1,1.27E+18,"RT @wawinaApr: This kind soul was driving home when he saw a scared deer standing in the middle of the road,the poor angel was petrified an…",
0,1.27E+18,"RT @dyllyp: A black man was drunk, fell asleep in his car in a drive thru and was murdered by the police.

A police officer in Aurora (the…",
1,1.27E+18,Basak traffic I didn't missed u 😩,
0,1.27E+18,"RT @AnnCoulter: Gosh, you're right, liberals: White men suck.",
1,1.27E+18,"RT @Marvis_WLKY: 🚨 TRAFFIC: SB I-71 ramp to Gene Snyder (I-265 S) is blocked due to a crash 

Expected to stay shut down for an hour @WLKY",
0,1.27E+18,RT @7vrvz: Nigerians will obey every rule in other countries only to come back home to be screaming “do you know who I am” after beating tr…,
0,1.27E+18,R.I.P James.,
1,1.27E+18,@Fingalcoco what is going on with the traffic in castleknock. 11 am and backed up from Georgian village past Lidl.… https://t.co/3cUUNTiCbU,
0,1.27E+18,result was announced right before my flight to kl i got so scared even after i arrived still couldn’t checked but d… https://t.co/Y4AhmjQxdn,
1,1.27E+18,"RT @London_Cycling: From Monday #CongestionCharge is £15, daily, 0700-2200. Without it, congestion in zone set to double (it's already back…",
0,1.27E+18,This is how you do it!,
0,1.27E+18,"RT @winkingina: [CHOEAEDOL APP LINK❤️]

Android: https://t.co/PMsoZIJGrk
iOS: https://t.co/Sr5fnWuLLS

Kumpulkan hearts dgn nonton 10 ads p…",
0,1.27E+18,"RT @livingstreets: It's incredibly concerning that communities which are entirely dependent on cars are being created. 

The level of car d…",
1,1.27E+18,RT @SuffolkDaily: * #Brentwood woman nabbed for alleged DWI at twice the legal limit following a traffic stop * #DailyVoice https://t.co/Vu…,
1,1.27E+18,"Good day to jam up with VIBELORD ep. #stream #vibelordep
#yungkrate #vibelord #yungkrate https://t.co/fYDiVOENnk @… https://t.co/JBoIjOpT2J","{'type': 'Point', 'coordinates': [-1.50304722, 12.31013065]}"
0,1.27E+18,RT @fermendkis: Telponan 13 jam does'nt make him stay,
0,1.27E+18,"RT @nnomintoday: Q&amp;A (special)☁️💥
🐰🌷JAM VER.🌸✨
#nomin https://t.co/ZnZV4CNYgb",
1,1.27E+18,"Traffic wey dey vex driver for road nah em dey give gala seller joy ...
 Think about it💯",
0,1.27E+18,"I would like to know who these 'many people' are.

The only thing stopping anybody doing longish distances on a bik… https://t.co/iA9nRIWLyt",
1,1.27E+18,- functioning city that isn't choked with car &amp; truck congestion. And: people need &amp; deserve fair transportation ch… https://t.co/xCP8ArCgie,
1,1.27E+18,A really good Government tool here for local councillors to use in spotting where there is potential (traffic flows… https://t.co/s7P31KKDOI,
0,1.27E+18,"We use some hyperbole, but this #podcast by @slantshow is the best thing humans have ever achieved! Agree? Disagree… https://t.co/vGajL4l2tX",
1,1.27E+18,#England Traffic update from @trafficalertuk -  M1 northbound within J35 | Northbound | Broken down vehicle - Locat… https://t.co/EBe8kXjBEg,
1,1.27E+18,Top lines from TfL press release confirming that daily congestion charge will rise to £15. Effective from 22 June. https://t.co/aMJ1MfiDqw,
1,1.27E+18,"RT @greg_doucette: 5️⃣1️⃣7️⃣ Philadelphia, PA: police stand around doing nothing as a white mob pushes an Asian guy into oncoming traffic…",
1,1.27E+18,"Top story: The 3 Step Strategy To Massive Traffic From Twitter - The Social Ms https://t.co/8GxDVPvQxC, see more https://t.co/qPqyj5a1mJ",
0,1.27E+18,"RT @Babz_headmaster: #legends #happybirthday #tupac #TupacShakur #2pac #partyalldjs #hiphoplegend
Reality is wrong. Dreams are for real.

©…",
1,1.27E+18,RT @ABC: Police in San Francisco arrested 29 demonstrators who blocked westbound traffic on the San Francisco-Oakland Bay Bridge as part of…,
0,1.27E+18,"RT @dyllyp: A black man was drunk, fell asleep in his car in a drive thru and was murdered by the police.

A police officer in Aurora (the…",
0,1.27E+18,Golden hour maeng jam 5 horr https://t.co/ewh4BhBG3X,
0,1.27E+18,Lola bunny was an absolute queen. Think Space jam was when I realised I found rabbits attractive,
0,1.27E+18,"RT @BSpodNetwork: We use some hyperbole, but this #podcast by @slantshow is the best thing humans have ever achieved! Agree? Disagree? Let…",
1,1.27E+18,⚠️Congestion is building in #Wednesbury on Axletree Way for the Gallagher Retail Park at J9. Use an alternative rou… https://t.co/hFh59Gg0af,
0,1.27E+18,"RT @ryDonBelle: This Is My Fav!! 

Donny and Belle 
Donny and Belle 

DONBELLELevenThousandBubs DONBELLELevenThousandBubs",
0,1.27E+18,"I dey wait for the day wey I go see that arrogant boi one on one to call me Baba, I go open hin book and tell ham t… https://t.co/mIlIuhzWCS",
0,1.27E+18,"RT @dyllyp: A black man was drunk, fell asleep in his car in a drive thru and was murdered by the police.

A police officer in Aurora (the…",
0,1.27E+18,@80sjenkinson SUCH A JAM,
0,1.27E+18,"RT @oche_official: So very soon....I will be watching super sport and they will change it to Jim Jam!!
Okay!!",
0,1.27E+18,"RT @livingstreets: It's incredibly concerning that communities which are entirely dependent on cars are being created. 

The level of car d…",
0,1.27E+18,How much coverage was given to protesters in the last week prior to last night? Very little. Protesters disrupted t… https://t.co/Xr7SRnH8E1,
0,1.27E+18,"RT @Windjammers: It feels like summer...

Windjammers 2 will be playable online on Steam during The Steam Summer Festival from June 16 to J…",
1,1.27E+18,"RT @sp00kprah: Ok since this didn’t get much traffic I’ll be choosing a winner this Friday 6/19 instead, good luck everyone!",
0,1.27E+18,RT @oc_milli: Omo this jam is toooooo mad,
0,1.27E+18,"RT @AsimSBajwa: Met with CM Balochistan Jam Kamal sb, discussed all CPEC projects.Special focus remained on water reservoirs, large scale a…",
1,1.27E+18,"RT @ericasiegel: @KristaVernoff Tbh I've never had that many incidents with cops, but I knew as a teen whenever I had a traffic violation,…",
0,1.27E+18,That moment you jam eyes with the invigilator.,
1,1.27E+18,@OwainAlty @wrightjames83 I don’t know. We could widen the road? Build a drive through lane for all the businesses?… https://t.co/buldzuvh9M,
0,1.27E+18,RT @CPSSweet: Happening Today free food distribution in Little Haiti at Notre Dame D' Haiti Catholic Church 110 N.E. 62nd street. Drive thr…,
0,1.27E+18,RT @_goldshaun: a black 18 year old girl in my hometown was murdered in her car by a white male in BROAD DAYLIGHT and people in my hometown…,
0,1.27E+18,"@PMcf12 If it’s a traffic stop they place the lad in ‘cuffs, then begin to look for an excuse to arrest him by sear… https://t.co/pbjXy5uDxc",
1,1.27E+18,traffic jam 🥱,
